tak,,,Origin,,,,,,,,Rationale,,,,,,,,,Data,,,,,,,,,,,,EEG processing,,,,,,,,Methodology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Results and discussion,,,,,,,,,,,,,Reviewed by,,,,
,Title,Year,Authors,Journal / Origin,Preprint first,Type of paper,Lab / School / Company,Country,Pages,,Domain 1,Domain 2,Domain 3,Domain 4,High-level Goal,Practical Goal,Task/Paradigm,Motivation for DL,,EEG Hardware,Neural response pattern,Dataset name,Dataset accessibility,Data,Data - samples,Data - time,Data - subjects,Nb Channels,Sampling rate,Offline / Online,,Preprocessing,Preprocessing (clean),Artefact handling,Artefact handling (clean),Features,Features (clean),Normalization,,Software,Architecture,Architecture (clean),Design peculiarities,EEG-specific design,Network Schema,Input format,Layers,Layers (clean),Activation function,Regularization,Regularization (clean),Nb Classes,Classes,Output format,Nb Parameters,Training procedure,Training procedure (clean),Optimizer,Optimizer (clean),Optim parameters,Minibatch size,Hyperparameter optim,Hyperparameter optim (clean),Data augmentation,Loss,Intra/Inter subject,Cross validation,Cross validation (clean),Data split,Performance metrics,Performance metrics (clean),Training hardware,,Training time,Results,Benchmarks,Baseline model type,Statistical analysis of performance,Analysis of learned parameters,Model inspection (clean),Discussion,Limitations,Code available,Code hosted on,Limited data,,First Reader,Second Reader,Validated by Author(s),,Citation
,Deep Architectures for Automated Seizure Detection in Scalp EEGs,2017,"Golmohammadi, Ziyabari, Shah, de Diego, Obeid, Picone",Arxiv,Yes,Preprint,"Neural Engineering Data Consortium, Temple University",USA,8,,Classification of EEG signals,Clinical,Epilepsy,Detection,Improve SOTA: Comparing different deep architectures,"Compare HMM+sAE, HMM+LSTM, IPCA+LSTM, CNN+MLP, CNN+LSTM","Ongoing EEG recording, with and without seizures.",With big EEG corpus now available we can explore deep learning.,,"(Natus), (Nihon Kohden)",Seizures,"TUH;
Duke Seizure Corpus",Both,"TUHS & DUZS: 1,864,012s  ~ 517.8h, 159 subjects
Multiple models with different window sizes",N/M,31067,159,"22;
-1","250;
N/M",,,N/M,N/M,N/M,N/M,LFCCs + First & Second Derivative of LFCCs,Other,N/A,,N/M,"1) HMM + sAE
2) HMM + LSTM
3) IPCA + LSTM
4) CNN + MLP
5) CNN + LSTM",CNN+RNN,2D Conv Layers -> Flatten -> 1D Conv Layer -> LSTM (output 1s data) -> LSTM -> 2-way sigmoid,"They tried different architectures trying to capture Spatio-Temporal information.
They also use Time-Freq Features, 
not raw EEG as is.",Yes,"210 @ 22 x 26 x 1
(Frames @ Channels * Features * 1)

(to be reviewed)","3x 2D CNN 
+ 1x 1D FC CNN
+ 2x Bi-LSTM
(CNN + LSTM)
(see paper for others)",6,ELU,Dropout,Yes,,,2-way Sigmoid,N/M,"Trained + Eval on TUSZ and 
only Eval on DUSZ",Standard,Adam,Adam,N/M,N/M,N/M,N/M,N/M,MSE,Inter,Train-Valid-Test,Train-Valid-Test,"Train: 614,382 (sec)
Valid: 647,948 (sec)
Test: 601,682 (sec)","Sensitivity
Specificity","sensitivity, specificity",N/M,,N/M,"CNN + LSTM gave the best results.

TUSZ   -   Sensitivity: 30.83%   |   Specificity: 96.86%
DUSZ   -   Sensitivity: 33.71%   |   Specificity: 70.72%","HMM + Gaussian mixture + AE
They compared 7 Optimizer Methods. (e.g. Adam, SGD, etc.)
They compared 6 Activation Functions. (e.g. Tanh, Sigmoid, etc.)
CNN + LSTM, Adam, ELU is the best combinaison",DL & Trad.,No,No,No,This is a significant finding because the Duke corpus was collected with different instrumentation and at different hospitals. Our work shows that deep learning architectures that integrate spatial and temporal contexts are critical to achieving state of the art performance and will enable a new generation of clinically-acceptable technology.,Access to labeled data and $ to label the data and make it public.,No,N/A,Yes,,Yannick Roy,TBR,TBC,,Golmohammadi2017a
,Neonatal Seizure Detection using Convolutional Neural Networks,2017,"O'Shea, Lightbody, Boylan, Temko",IEEE 27th International Workshop on Machine Learning for Signal Processing,Yes,Conference,"Irish Centre for Fetal and Neonatal Translational Research, University College Cork",Ireland,6,,Classification of EEG signals,Clinical,Epilepsy,Detection,New Approach,CNN on (preprocessed) raw EEG for epilepsy classification,"Ongoing EEG recording, with and without seizures.","CNN works well on audio signal, why not on EEG.",,N/M,Seizure,Internal Recordings,Private,"835 hours with 1389 seizures from 18 subjects
splitted into 8s, 50% overlap. 
(not clear 50% versus 7s overlap / 1s shift)
(8s window, 7s overlap)",3006000,50100,18,8,256,,,"Band-pass filter: 0.5 - 12.8Hz
Down sampled: 32Hz
EEG Split into 8s windows (50% overlap)",Yes,N/M,N/M,Raw EEG,Raw EEG,N/A,,Keras,1D - CNN,CNN,"Conv - Batch Norm. - Pooling
Output Layer: GAP (not dense)","""...1D CNNs wide convolutional filters (1-4s, 32-128 samples) significantly improved the performance"". Sample size filters were used. In contrast to larger filter lengths allow the learning the various filters in a hierarchical manner [21].",Yes,"256x1
(1s x 1 channel)",6,6,RELU,Batch Norm,Yes,,,"2
(Seizure vs Non-seizure)","16,930",N/M,N/M,SGD,SGD,"LR: 0.003
LR -= 10% every 
20 iterations
Nesterov Momentum: 0.9",2048,N/M,N/M,"Sliding Window
(Shifted by 1s, 7/8 overlap)",Categorical Cross-Entropy,Inter,Leave-One-Subject-Out,Leave-One-Subject-Out,"Train: 17 subjects
Test: 1 subject",ROC AUC,ROC AUC,N/M,,N/M,"AUC: 97.1%
AUC90: 82.9%",SVM,Traditional pipeline,No,No,No,"""We have also tried max pooling, which led to slightly inferior results in our experiments.""
""Initially, the EEG was converted to time-frequency images (spectrograms) and 2D CNNs were utilized, adopted from the area of image processing [17] – this architecture proved unsuccessful in the seizure detection task.""",N/M,No,N/A,No,,Yannick Roy,TBR,TBC,,Oshea2017
,Improving classification accuracy of feedforward neural networks for spiking neuromorphic chips,2017,"Yepes, Tang & Mashford",International Joint Conference on Artificial Intelligence,Yes,Conference,"IBM Research, VIC, Australia",Australia,7,,Improvement of processing tools,Hardware optimization,Neuromorphic chips,,New Approach: Running DL on Neuromorphic Chips,"Compare constrained network for a neuromorphic chip on 2 datasets, vs unconstrained version of NN ","MNIST & EEG Data from Nurse et al., 2015 (BCI-MI)",Implement DL/DNNs on a chip.,,N/M,Motor Imagery,Nurse et al. (2015),Public,"From [Nurse et al., 2015]: 1 subject ~ 30 min
480/468 examples for training, 66/95 for testing
(window length N/M)",1109,30,1,-1,1000,,,N/M,N/M,No,No,N/M,N/M,"[0, 1]",,Matlab,"[Esser et al., 2015]",N/M,"[Esser et al., 2015]","[Esser et al., 2015]",No,N/M,"Small Network: 3
Large Network: 4",4,N/M,N/M,N/M,,,2,N/M,N/M,N/M,N/M,N/M,LR: 0.1,25,N/M,N/M,No,N/M,Intra,No,No,"Train: 80%
Test: 20%",Accuracy,accuracy,"TrueNorth
(IBM Chip)",,(see paper),"EEG Data: 86%
MNIST: 98-99%",No,None,No,No,No,"Furthermore, analysis of the learnt parameters pro- vide insights that might complement hardware design, thus providing a more efficient deployment of the trained models. The trained models use a small portion of the TrueNorth chip (30 cores vs. 4096 avail- able in the current version of the chip), thus requiring a much less than 70mW to work, which makes these models suitable for portable autonomous devices with large autonomy.",N/M,No,N/A,No,,Yannick Roy,TBR,TBC,,Yepes2017
,Automatic Analysis of EEGs Using Big Data and Hybrid Deep Learning Architectures,2017,"Golmohammadi, Hossein, Torbati, Lopez De Diego, Obeid & Picone",Arxiv,Yes,Preprint,"Temple University
Jibo, Inc., Redwood City",USA,20,,Classification of EEG signals,Clinical,Epilepsy,Detection,New Approach: Hybrid HMM & SdA for Epilepsy,"Using an Hybrid 3 Passes Model, combining HMM & Stacked Denoising AutoEncoders for Epilepsy classification","Ongoing EEG recording, with and without seizures.
(TUH Dataset)",Deep Learning allows computational models that are composed of multiple processing layers to learn representations of data with multiple levels of abstraction,,(Natus),Seizure,TUH,Public,"TUH Corpus
Training from 359 sessions, Evaluation from 159 sessions. 113453 events total.
Splitted 10s windows -> 1s epoch -> 0.1s frames
(0.1 window, 0.2s overlap)",113453,18909,518,128,1024,,,PCA,Yes,No,No,Cepstral coefficient-based feature extraction approach based on Linear Frequency Cepstral Coefficients (LFCCs),Other,N/M,,Theano,3x Stacked denoising Autoencoders (SDAE),AE,"3 Passes. 
(1) HMM -> (2) SDAEs -> (3) NLP

(2) PCA -> Out of Sample -> 3 SDAEs in parallel -> Enhancer (combining 3 SDAEs)",Not your typical DL-EEG approach...,Yes,,3 [Nodes from 100-800],3,N/M,N/M,N/M,,,6 Classes,N/M,Training of these three SDAE networks is done in two steps: pre-training and fine-tuning. Denoising autoencoders are stacked to form a deep network. The unsupervised pre-training of such an architecture is done one layer at a time.,Pre-training,Minibatch Stochastic Gradient Descent,SGD,LR: [0.1-0.5],[100-300],N/M,N/M,"Out-of-sample technique 
(van der Maaten, 2009)",Cross-Entropy,Inter,No,No,"Train: 84,032 events
Test: 29,421 events","Sensitivity
Specificity","sensitivity, specificity",N/M,,N/M,"Pass: Sensitivity | Specificity
1 (HMM): 86.78 | 17.70
2 (SDAE): 78.93 | 4.40
3 (SLM): 90.10 | 4.88",No,None,No,No,No,A summary of the results for different stages of processing is shown in Table 12. The overall performance of the multi-pass hybrid HMM/deep learning classification system is promising: more than 90% sensitivity and less than 5% specificity.,N/M,No,N/A,No,,Yannick Roy,TBR,TBC,,Golmohammadi2017
,Multimodal deep learning approach for joint EEG-EMG data compression and classification,2017,"Ben Said, Mohamed, Elfouly, Harras & Wang",IEEE Wireless Communications and Networking Conference,Yes,Conference,"Qatar University
Carnegie Melon University
University of British Columbia",Qatar,6,,Classification of EEG signals,Monitoring,Affective,Emotion,New Approach: Compressing joint EEG-EMG with an autoencoder,Compression & Classification of joint EMG + EEG on DEAP dataset with SAE,"Watching music videos
(DEAP Dataset)",Deep learning approach has emerged as one of the possible techniques to exploit the correlation of the data from multiple modalities. Compression for mobile health data.,,N/M,Emotions,DEAP,Public,"DEAP
32 subjects x 40 videos x 63s
(6s windows)",23040,1280,32,-1,128,,,"1) 6s Windows
2) Whitened
3) Normalized",Yes,N/M,N/M,"Raw EEG + EMG
(None)",Raw EEG,z-score,,N/M,SAE,AE,N/M,Deep learning approach has emerged as one of the possible techniques to exploit the correlation ofthe data from multiple modalities,No,N/M,2 SAE,2,Sigmoid,"L2
",Yes,,,"N/M
1) Compressed data
2) Classification",N/M,Greedy-layer wise,Pre-training,N/M,N/M,N/M,N/M,N/M,N/M,"Duplicated multimodal data keeping values from 1 modality, setting the other modality to 0. 
And vice-versa.",Square Euclidean Distance,Inter,No,No,"[Compress] Train: 50%
[Compress] Test: 50%
[Classif] Train: 75%
[Classif] Test: 25%","1) Compression: Distortion
2) Classification: Accuracy","distortion, accuracy",N/M,,N/M,"1) [Compression] Distortion: EMG = 13.85% |  EEG = 12%
2) [Classification] Accuracy: 78.1%","Discrete Wavelet Transform (DWT) [26]
Compressed Sensing (CS) [27] (distortion: 22% | 17.21%)
2D compression approach which is based on SPIHT and FastICA [28]",Traditional pipeline,No,No,No,"1) Compression: Distortion
2) Classification",N/M,No,N/A,No,,Yannick Roy,TBR,TBC,,BenSaid2017a
,Deep Learning for Fatigue Estimation on the Basis of Multimodal Human-Machine Interactions,2017,"Gordienko, Stirenko, Kochura, Alienin, Novotarskiy & Gordienko",Arxiv,Yes,Preprint,National Technical University of Ukraine,Ukraine,12,,Classification of EEG signals,Monitoring,Physical,Exercise,New Approach,Multi-modal fatigue (and activity) estimation,Different activities (sports) while having different sensors,Use Multimodal Models. to combine different modalities with a NN.,,OpenBCI (OpenBCI),Multimodal,Internal Recordings,Private,"N/M
Not much information on the EEG data",N/M,N/M,N/M,-1,N/M,,,N/M,N/M,N/M,N/M,N/M,N/M,N/M,,N/M,DNN,N/M,N/M,N/M,No,N/M,N/M,N/M,N/M,N/M,N/M,,,N/M,N/M,N/M,N/M,N/M,N/M,N/M,N/M,N/M,N/M,N/M,"Mean Residual Deviance (MRD) 
Mean Absolute Error (MAE)",N/M,N/M,No,N/M,"Mean Residual Deviance (MRD) 
Mean Absolute Error (MAE)","mean residual deviance, mean absolute error",N/M,,N/M,"See Paper
(not really relevant / meaningful for this paper)",N/M,None,No,No,No,The main achievement is the multimodal data measured can be used as a training dataset for measuring and recognizing the intensity and physical load on the person by means of the machine learning approaches.,N/M,No,N/A,No,,Yannick Roy,TBR,TBC,,Gordienko2017
,Towards Deep Modeling of Music Semantics using EEG Regularizers,2017,"Raposo, Matos, Ribeiro, Tang & Yu",Arxiv,Yes,Preprint,Universidade de Lisboa,Portugal,5,,Classification of EEG signals,Music semantics,,,Improve SOTA on music semantics,Modeling of music audio semantics,Listening to music,Previous success of CNNs in music audio modeling,,OpenBCI (OpenBCI),None,Internal Recordings,Private,"60 music segments + 2 noise + 2 songs
x 18 subjects
music duration = average of 15.13s
samples approx: 60 * 15.13 / 1.5 * 18 = 10894
(1.5s windows)",10894,272.3,18,16,250,,,"1) Highpass 0.5Hz 
2) Notch at 50Hz",Yes,Yes,Yes,Raw EEG + Audio embeddings,Raw EEG,"Rescaled [-1, 1]",,N/M,CNN,CNN,N/M,N/M,Yes,N/M,5,5,ReLU,No,N/M,,,128,N/M,"1) Train audio+lyrics embeddings model
2) Train audio embeddings+EEG embeddings model",Standard,N/M,N/M,N/M,102,N/M,N/M,N/M,CCA between embeddings,Inter,5-Fold CV,k-fold,"Train: 80%
Test: 20%","Mean Reciprocal
Rank (MRR)",mean reciprocal rank,GeForce GTX 1080,,20 minutes,"Outperformed Spotfiy by ~1%, but did not perform better than the SOTA (by a small margin)",Spotify embeddings and current SOTA (Choi),DL & Trad.,No,No,No,"Proposed approach did not outperformed SOTA but SOTA was trained on more
than 2083 hours of music, whereas the proposed method needs less than 3 hours of both music and EEG",N/M,No,N/A,No,,Isabela Albuquerque,TBR,TBC,,Raposo2017
,Deep convolutional neural network for the automated detection and diagnosis of seizure using EEG signals,2017,"Acharya, Oh, Hagiwara, Tan & Adeli",Computers in Biology and Medicine,No,Journal,"Ngee Ann Polytechnic, Singapore
SUSS University, Singapore
University of Malaya, Malaysia
The Ohio State University, US",Singapore,,,Classification of EEG signals,Clinical,Epilepsy,Detection,"New Approach: CNN for Epilepsy
(claiming its a new approach, but it's not...)",13-Layers CNN for Epilepsy,"Ongoing EEG recording, with and without seizures.",To develop a computer-aided diagnosis (CAD) to classify EEG,,N/M,Seizures,Bonn University,Public,"Bonn University: B,D,E 
3 x 100 x 23.6s
(23.6s windows)",300,118,10,1,173.6,,,None,No,N/M,N/M,Raw EEG,Raw EEG,z-score,,N/M,CNN,CNN,"1D CNN
Conv / Max Pooling",,Yes,4097x1,"1D CNN: 10
FC: 2",12,ReLU,L1 ,Yes,,,"3
(Softmax with 3 classes)",N/M,A conventional backpropagation (BP) [32] with a batch size of 3 is employed in this work to train CNN.,Standard,Adam,Adam,"Lambda: 0.7
LR: 1x10^-3
Momentum: 0.3",3,Trial and Error,Yes,No,N/M,Inter,10-Fold CV,k-fold,"Train: 90%
Valid: 30% of 90%
Test: 10%","Accuracy
Specificity
Sensitivity","accuracy, specificity, sensitivity","Intel Xeon 2.40 GHz (E5620)  
24 GB RAM",,"150 epochs
12.8s / epochs
=  32 min","Accuracy: 88.7% 
Sensitivity: 95% 
Specificity: 90%","Many other SOTA
(check paper)
They performed worse than most previous SOTA",Traditional pipeline,No,No,No,"The advantage of the model presented in this paper, however, is separate steps of feature extraction and feature selection are not required in this work. Nevertheless, the main drawback of this work is the lack of huge EEG database",Amount of data,No,N/A,Yes,,Yannick Roy,TBR,TBC,,Acharya2017
,Electroencephalogram-based decoding cognitive states using convolutional neural network and likelihood ratio based score fusion,2017,"Zafar, Dass & Malik",Plos One,No,Journal,Universiti Teknologu PETRONAS,Malaysia,23,,Classification of EEG signals,BCI,Reactive,RSVP,Improve SOTA,Decode seen images by extracting features with a CNN,Watching natural images from 5 classes,Features learned automatically can be more efficient,,(EGI),None,Internal Recordings,Private,"26 subjects x 21min
(1s windows)",13520,546,26,128,250,,,"[Hardware: Bandpass from 0.1 to 100 Hz]
1) Bandpass from 0.3 to 30 Hz
2) Removal of eye artefacts",Yes,Yes,Yes,Raw EEG,Raw EEG,N/M,,N/M,CNN,CNN,"Modified LeNet
CNN is *just* for feature extraction (feature selection and classification is done separately)",Temporal 1D conv in first layer,Yes,128 x 250,2,2,"Sigmoid, tanh",N/M,N/M,,,128 x 11 x 100,N/M,???,Standard,N/M,N/M,N/M,N/M,N/M,N/M,N/M,N/M,N/M,Monte-Carlo 100-Fold CV,Train-Valid-Test,"Train: 90%
Test: 10%","Accuracy
Specificity
Sensitivity","accuracy, specificity sensitivity",N/M,,N/M,"Accuracy (across participants, 5-class): 40%",Discrete Wavelet Transform + SVM,Traditional pipeline,"two-sample t-test, ANOVA",No,No,,Amount of data,No,N/A,No,,Hubert Banville,TBR,TBC,,Zafar2017
,Deep Convolutional Neural Network for Emotion Recognition Using EEG and Peripheral Physiological Signal,2017,"Lin, Li & Sun",International Conference on Image and Graphics,No,Conference,"College of Computer Science of Zhejiang University, Hangzhou, China",China,,,Classification of EEG signals,Monitoring,Affective,Emotion,Improve SOTA: AlexNet on DEAP,AlexNet on Images (Raw EEG + Freq Bands) + other physiological sensors,"Watching videos
(check out DEAP details)",Using AlexNet on DEAP,,N/M,Emotions,DEAP,Public,"DEAP
32 subjects x 1min x 40 videos
(6s windows)",12800,1280,32,32,512,,,"1) Downsampling to 128Hz
2) Band-Pass Filter: 4.0 - 45Hz
3) Average to Common Reference* (?)",Yes,No,No,"EEG -> 6 gray images (Raw EEG + Freq Bands)
+ 81 features from other physiological sensors",Frequency-domain,min-max,,N/M,CNN,CNN,AlexNet,"AlexNet is great for images, frequency bands can be converted to images...",Yes,6 Gray Images (2D),"5 CNN
1 FC (81+500)",6,N/M,N/M,N/M,,,"2
Softmax",N/M,Fine-tuning AlexNet,Pre-training,SGD,SGD,"LR: 0.001
(decreases every 500 iterations)",200,Empirically,Yes,N/M,N/M,Inter,10-Fold CV,k-fold,"Train: 90%
Test: 10%","Accuracy
F1-Score","accuracy, f1-score",N/M,,N/M,"Arousal - Accuracy:  87.30%
Arousal - F1-Score:  78.24%
Valence - Accuracy:  85.50%
Valence - F1-Score:  80.06%","Many other SOTA
(check paper)
They outperform all others.",Traditional pipeline,No,No,No,"To achieve better performances, data preprocessing of the original signal was also adopted. The provided experimental results prove the effectiveness and validate the proposed contributions of our method by achieving superior performance over the existing methods on DEAP Dataset.",N/M,No,N/A,No,,Yannick Roy,TBR,TBC,,Lin2017
,Cross-subject recognition of operator functional states via EEG and switching deep belief networks with adaptive weights,2017,Yin & Zhang,Neurocomputing,No,Journal,University of Shanghai,China,18,,Classification of EEG signals,Monitoring,Cognitive,Mental workload & fatigue,Improve SOTA on cross-subject operator functional state recogntion ,"Exploit ""new"" improvements in deep learning",Cabin air management simulation (AutoCAMS),Using switching deep belief network with adaptive weights,,(Nihon Kohden),None,Internal Recordings,Private,"8 subjects x 1080 EEG Segments per subject
(2s windows)",8640,288,8,11,500,Offline,,1) Adaptive exponential smooth (to remove outliers),Yes,Yes,Yes,"Centroid frequency, log-energy entropy, mean, five power components, Shannon entropy, sum of energy, variance, zero-crossing rate of each channel and power differences between channel pairs",Frequency-domain,z-score,,Matlab 2011b,"Switching
DBN",DBN,One DBN per subject,The member DBN is switched at different time instants to fit the non-stationarity of the EEG features recorded from a novel testing subjects.,Yes,152x1,4,4,Sigmoid,N/M,N/M,3,"Low MW
Medium MW
High MW",3,N/M,Unsupervised pre-training of DBNs to learn representation of features for each subject (layer by layer). Supervised fine-tuning of the complete model. ,Pre-training,N/M,N/M,"Pre-training: 0.1
Fine-tuning: 1",10,N/M,N/M,Gaussian noise to feature vector,N/M,Inter,Leave-One-Subject-Out,Leave-One-Subject-Out,"Train: 7 subjects
Test: 1 subject","Accuracy
True positive
True negative
False positive
False negative","accuracy, true positives, true negatives, false positives, false negatives ","AMD4CPU 1.9GHz, 8G RAM",,N/M,"Mental workload: 77%
Mental fatigure: 68%
MW+MF: 54%","KNN, Naive Bayes, Logistic Regression, LSSVM, SAE, DBN 
(all with and without PCA) ",DL & Trad.,Two-tailed Wilcoxon sign-rank test,No,No,"Results of the proposed method outperform all baselines. When the number of subjects increases, the performance gap between SDBN and baselines increases, suggesting that the number of subjects plays a fundamental role. ",Number of subjects is crucial to obtain a good performance ,No,N/A,No,,Isabela Albuquerque,Yannick Roy,TBC,,Yin2017
